# Index   ID                               RA                  Dec                  
  71      frame-r-002887-6-0283.fits.bz2   151.894853271247    46.0939775814242     
  72      frame-r-002961-4-0058.fits.bz2   122.51818811333     29.0318623152627     
  73      frame-r-002964-5-0132.fits.bz2   144.515975245842    42.9743270470651     
  74      frame-r-002964-3-0327.fits.bz2   186.320451710498    49.9577985434045     
  75      frame-r-002964-5-0337.fits.bz2   188.601703485868    50.5820208989542     
  76      frame-r-002964-2-0323.fits.bz2   185.305940308675    49.474858923555      
  77      frame-r-002964-3-0433.fits.bz2   209.895120710812    47.1476570023106     
  78      frame-r-002986-1-0272.fits.bz2   159.388073143018    5.62860612600541     
  79      frame-r-002986-3-0192.fits.bz2   147.325371339996    5.5659598425244      
  80      frame-r-003015-2-0275.fits.bz2   155.401380213399    6.02593644439611     
  81      frame-r-003059-4-0159.fits.bz2   186.455810830394    50.0959214730665     
  82      frame-r-003103-2-0141.fits.bz2   181.220627478802    54.2317577966387     
  83      frame-r-003103-2-0199.fits.bz2   195.920042897003    53.7232394369451     
  84      frame-r-003103-2-0201.fits.bz2   196.365057376557    53.6996146053009     
  85      frame-r-003130-1-0064.fits.bz2   196.516756266676    53.4953301938037     
  86      frame-r-003130-6-0075.fits.bz2   200.088413555928    55.2339771551675     
  87      frame-r-003177-4-0117.fits.bz2   225.200953243257    47.6632277538777     
  88      frame-r-003177-6-0086.fits.bz2   219.593274604265    50.6962470167176     
  89      frame-r-003177-2-0089.fits.bz2   219.138778368429    49.0097721992062     
  90      frame-r-003180-2-0063.fits.bz2   212.557946799844    51.1136354303632     
  91      frame-r-003184-3-0038.fits.bz2   222.944256465135    53.4379915595562     
  92      frame-r-003187-2-0141.fits.bz2   245.985365371108    36.2275964000488     
  93      frame-r-003187-3-0094.fits.bz2   239.987952614073    41.4777902883578     
  94      frame-r-003187-3-0098.fits.bz2   240.677405309938    41.1972861203285     
  95      frame-r-003187-3-0091.fits.bz2   239.491856210833    41.7926013032093     
  96      frame-r-003187-1-0013.fits.bz2   225.971418787807    48.5761056081502     
  97      frame-r-003187-2-0069.fits.bz2   235.910615071735    43.8248200989179     
  98      frame-r-003225-4-0239.fits.bz2   247.333316601429    39.4289977860626     
  99      frame-r-003225-2-0230.fits.bz2   245.270860749519    39.9173937200665     
  100     frame-r-003225-2-0251.fits.bz2   247.79042075243     37.4223943563926     
  101     frame-r-003225-5-0196.fits.bz2   241.90242082978     44.4481945587996     
  102     frame-r-003225-4-0114.fits.bz2   227.67423611255     52.2139026389936     
  103     frame-r-003226-5-0104.fits.bz2   247.844089700294    39.1678256412386     
  104     frame-r-003358-1-0073.fits.bz2   263.083737509649    53.5462308873274     
  105     frame-r-003438-2-0137.fits.bz2   50.5014227766791    -0.807087160570055   
  106     frame-r-003513-5-0069.fits.bz2   120.453032671831    26.1464515532076     
  107     frame-r-003513-2-0061.fits.bz2   120.403480004286    24.4388846062421     
  108     frame-r-003530-3-0321.fits.bz2   170.588135391455    46.4305147741243     
  109     frame-r-003560-6-0063.fits.bz2   117.801286872021    22.4229059751251     
  110     frame-r-003560-4-0237.fits.bz2   143.042749209385    36.8271377552218     
