# Index   ID                               RA                   DEC                    x0           y0           a            b           eps                   pa           mag                  magerr        
  1       frame-r-000756-6-0274.fits.bz2   156.8731080071098    1.246542273970933      1863.3224    905.7564     21.660046    7.9132247   0.6346626087497691    -21.4201     16.94093747723116    0.0021500075  
  2       frame-r-000756-4-0187.fits.bz2   143.80975436288054   0.4091418624998245     1876.2       538.1263     10.215585    8.8197775   0.13663510215029295   13.048746    16.041717070508085   6.4761745E-4  
  3       frame-r-000756-6-0555.fits.bz2   198.84866989494645   1.143837097368274      927.67267    118.47842    18.592434    3.3965828   0.8173137094368602    43.30304     17.950309393506792   0.004359438   
  4       frame-r-000756-3-0204.fits.bz2   146.35577812419095   -0.1433835051096906    669.33685    557.1217     5.7912545    3.069492    0.4699780505242862    -78.4419     16.96591709274846    0.0014874906  
  5       frame-r-001035-3-0061.fits.bz2   14.779428258656704   14.523218394422885     1405.9883    439.34998    11.446227    10.178748   0.11073334470826057   42.721348    18.566778416539254   0.007817463   
  6       frame-r-001035-3-0069.fits.bz2   16.07934913328597    14.50352941976057      1764.8186    988.9242     8.804039     5.9520526   0.3239406822255103    45.37351     18.64686697108162    0.00806486    
  7       frame-r-001045-1-0157.fits.bz2   57.72967972422287    -7.060630160357489     889.27954    721.1835     17.33547     16.114307   0.07044302808057701   -73.679115   17.323218203526086   0.0032122678  
  8       frame-r-001045-2-0159.fits.bz2   57.981132797458756   -6.629478815632617     640.6749     790.75586    9.522606     3.8489716   0.5958069041184735    -85.18997    18.069098560217935   0.004917225   
  9       frame-r-001045-5-0133.fits.bz2   53.9428418830073     -5.8796412651309495    870.34827    936.62085    8.702625     5.6692095   0.34856327832119616   24.236498    19.034803855537376   0.012499401   
  10      frame-r-001239-4-0082.fits.bz2   132.57554378784937   0.05930172715608577    604.5119     88.730484    10.698797    4.4070754   0.58807748198232      66.16098     19.074553348235916   0.008728454   
  11      frame-r-001331-3-0153.fits.bz2   126.43580882071555   47.78428147112508      1468.5178    1048.6984    11.249358    4.60163     0.5909428786958332    5.663007     17.856148718551147   0.0036917066  
  12      frame-r-001331-6-0129.fits.bz2   121.76275477413473   45.67642977401491      1376.5792    760.7101     8.111524     7.714348    0.04896441161981391   -10.86746    18.13206701120853    0.0044100345  
  13      frame-r-001339-4-0063.fits.bz2   259.0999875924403    57.422690977401565     612.49225    734.97076    13.61509     10.631158   0.21916358981101125   -17.042513   16.75970447606208    0.0013727254  
  14      frame-r-001345-3-0183.fits.bz2   135.05691662514937   53.91798795537258      975.75806    808.9443     12.790783    6.7569146   0.4717356552761469    73.79863     16.111189721529435   7.2924607E-4  
  15      frame-r-001350-6-0203.fits.bz2   133.37084799425278   57.59863672537126      659.4112     1218.2113    10.329369    3.5660055   0.6547702478244315    -65.17072    17.838524630542587   0.004420294   
  16      frame-r-001402-6-0097.fits.bz2   118.68974703474824   46.22022149640636      634.4155     1381.9045    15.67439     13.988185   0.1075770731747775    54.621       19.02266381957437    0.011460729   
  17      frame-r-001402-5-0038.fits.bz2   112.93348551364184   38.33651673092494      1724.01      312.84128    12.27194     9.712272    0.20857892069224593   10.4095545   18.61442769202724    0.007245367   
  18      frame-r-001402-2-0105.fits.bz2   121.56641529097756   46.28867966738813      1110.3219    932.48       12.491355    2.4142094   0.806729582179035     -25.477236   18.82295205306146    0.009665784   
  19      frame-r-001462-5-0124.fits.bz2   143.9994279212737    2.462828587149343      1479.2407    1394.2495    8.550609     3.7069366   0.5664710431736499    -63.543877   16.852702022182516   0.0017837032  
  20      frame-r-001478-2-0081.fits.bz2   220.18063305972248   3.374021083387333      1192.3105    1132.2089    10.718097    4.995064    0.5339598064843041    15.429619    15.475218353278084   5.0634245E-4  
  21      frame-r-001478-3-0084.fits.bz2   220.57505405037125   3.7256088148340876     750.80536    461.20593    10.032322    6.9578295   0.3064587141441434    86.105064    17.622043825099      0.0031157308  
  22      frame-r-001729-5-0405.fits.bz2   48.670527715650245   -6.776233519797192     704.1337     407.0774     15.214701    5.55722     0.6347466834872404    13.682524    16.627817391610574   0.0014376622  
  23      frame-r-001729-1-0491.fits.bz2   61.848015107759565   -6.68640367339617      920.8213     1370.5778    7.972356     4.512629    0.433965442586859     -59.781013   18.487111411694396   0.007642399   
  24      frame-r-001737-5-0031.fits.bz2   311.9385774858686    -5.420994391565728     1938.2477    242.96948    9.315821     3.8474517   0.5869981078425616    39.862076    17.439839944939866   0.0018844038  
  25      frame-r-001737-1-0045.fits.bz2   313.9024544421064    -7.42814100063355      1552.9843    1259.7898    7.6752014    4.575019    0.40392196092730537   23.403591    17.60746707327996    0.0027978406  
  26      frame-r-001739-2-0234.fits.bz2   349.48486816467084   13.89779487983143      547.28906    882.25366    15.136653    7.681468    0.49252532908034563   -8.788967    16.35641923658434    9.150234E-4   
  27      frame-r-001739-1-0125.fits.bz2   332.79872323687465   11.800736215708186     842.908      175.27107    10.093143    6.3072863   0.37509195104042414   44.939175    16.526482880536467   0.001116163   
  28      frame-r-001739-6-0306.fits.bz2   0.4738216784663961   16.137742762361746     1284.2606    187.27461    11.848399    3.1513486   0.7340274749356432    37.141396    18.601650694563247   0.008239839   
  29      frame-r-001739-5-0167.fits.bz2   339.09921248305335   14.301693195220707     1131.5461    1224.4581    9.852551     4.179063    0.5758394957813464    49.032223    18.61394615798073    0.007046911   
  30      frame-r-001739-5-0247.fits.bz2   351.3822133262466    15.370090097874355     1374.4211    715.816      12.716331    2.5571065   0.7989116121623446    32.88373     18.851822712304205   0.009119135   
  31      frame-r-001862-4-0114.fits.bz2   43.29705561027105    -7.532473182210951     1303.6287    829.9501     7.4652305    5.9716816   0.20006735224049677   -15.412123   18.041877227340287   0.004998376   
  32      frame-r-001889-5-0050.fits.bz2   114.19018017792617   33.12271402643725      477.27448    1258.896     16.061268    7.55656     0.5295165985649452    -23.218317   18.125000894201644   0.0044269804  
  33      frame-r-001904-4-0217.fits.bz2   10.317255471915125   15.21716420954185      679.7691     742.789      15.777349    4.5458875   0.7118725395502121    -77.71842    17.324110564368116   0.002423781   
  34      frame-r-001904-5-0343.fits.bz2   29.861462747622227   14.49161591952646      1803.7493    994.8691     10.630412    4.473732    0.5791572330404504    -73.64405    17.50419754929541    0.0029284137  
  35      frame-r-002137-2-0146.fits.bz2   122.52737668216645   38.01707440935653      1957.9658    1168.3162    12.23034     9.853778    0.19431692005291756   3.8579123    16.25018216739871    9.255949E-4   
  36      frame-r-002141-2-0074.fits.bz2   153.66497931695525   -0.8307386375906904    154.27066    663.4163     20.92277     18.036064   0.13796959006861909   -39.164837   16.710946536038804   0.0018609341  
  37      frame-r-002190-2-0257.fits.bz2   220.45656123697793   3.443784012049646      76.82359     435.37543    8.992743     6.5502977   0.27160181270608985   -8.937664    16.483443766670696   0.0010143733  
  38      frame-r-002247-3-0062.fits.bz2   169.99240358739706   4.4256007150047445     227.32552    267.59296    7.974669     6.317832    0.20776247891918764   -15.217441   19.09368286345344    0.004378038   
  39      frame-r-002299-6-0301.fits.bz2   244.40146699910903   46.08222541677093      623.47394    176.30806    7.780765     6.067217    0.22022873072249316   -67.57074    16.31906250583151    9.629718E-4   
  40      frame-r-002299-2-0328.fits.bz2   246.2309235363474    41.900249843756434     873.2347     353.26202    11.716848    5.970421    0.49044137126298815   81.74967     17.94210911351331    0.0037685742  
  41      frame-r-002328-5-0059.fits.bz2   250.3130160552452    39.75219790612291      1680.9453    864.4725     21.674154    6.9373946   0.6799231656285177    -89.20304    17.22151037558127    0.0017464432  
  42      frame-r-002328-6-0115.fits.bz2   256.4620536004983    32.9754204307752       102.66759    884.77856    10.889484    8.369416    0.23142216839659258   35.97505     16.360218741838256   7.3644135E-4  
  43      frame-r-002328-3-0042.fits.bz2   247.24526893020925   41.25529134146813      713.1297     282.85263    11.145586    6.1799183   0.44552773627156084   -47.274403   17.693714619294912   0.0026016296  
  44      frame-r-002335-5-0038.fits.bz2   252.99684555581214   40.2713079050876       1682.0979    745.66296    16.916698    6.9220705   0.5908143244030247    65.69546     18.01029298112128    0.0032536478  
